metric,comparison,density,in_primary_band,n_pairs,paired_mean_difference,ci95_low,ci95_high,positive_fraction
velocity_dispersion,ALF - crdf,0.02040816326530612,1,50,-0.0009886203835620204,-0.001376955463162561,-0.0006448350728135495,0.12
velocity_dispersion,ALF - crdf,0.03305785123966942,1,50,-0.0003062709292608239,-0.000491236776202272,-0.00017130106239249737,0.0
velocity_dispersion,ALF - crdf,0.04938271604938271,1,50,-9.290245042375853e-05,-0.0001443261489566603,-6.009956796552292e-05,0.0
velocity_dispersion,ALF - crdf,0.08163265306122448,1,50,-2.60957354879824e-05,-3.3629031138393004e-05,-1.9035428537780277e-05,0.04
velocity_dispersion,ALF - crmf,0.0044444444444444444,0,50,0.0004080814155417453,-4.8749952290876665e-05,0.0011885083038546277,0.06
velocity_dispersion,ALF - crmf,0.007561436672967864,0,50,0.00011281810151585425,-0.00011391617214637207,0.0003299122199107322,0.24
velocity_dispersion,ALF - crmf,0.012345679012345678,1,50,0.00034443111731862007,0.00014155341380360154,0.0006012387195175828,0.52
velocity_dispersion,ALF - crmf,0.02040816326530612,1,50,0.0001228512303577755,4.2524131569344695e-05,0.0002619744749961526,0.74
velocity_dispersion,ALF - crmf,0.03305785123966942,1,50,3.422782219267098e-05,1.4143875737672852e-05,6.322546429000815e-05,0.68
velocity_dispersion,ALF - crmf,0.04938271604938271,1,50,5.993268286457083e-06,1.3705033009251863e-06,1.1367676023805189e-05,0.56
velocity_dispersion,ALF - crmf,0.08163265306122448,1,50,1.411570159687535e-06,-1.5485662990889432e-06,4.359308012602627e-06,0.44
