experiment,method,density,metric,mean,ci95_low,ci95_high,bootstrap_scheme,n_top_level,n_episodes,n_bootstrap
canonical_analytical_density,fixed_r5,0.0493827160494,polar_order,0.975425814192,0.969846296571,0.980399486278,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,mean_degree,4.0917039801,3.94199347015,4.25030099502,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,mean_probe_degree,4.0917039801,3.9380295398,4.24789925373,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,control_energy,0.00985530210871,0.0093995115082,0.0103243431963,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,final_largest_scc_fraction,1,1,1,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,final_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,mean_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,polar_order,0.988739179011,0.986489821286,0.990460079667,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,mean_degree,6.20962686567,6.03335136816,6.38482524876,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,mean_probe_degree,6.20962686567,6.03023849502,6.39227487562,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,control_energy,0.00869961915795,0.00837763756955,0.00902669336483,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0816326530612,final_largest_scc_fraction,1,1,1,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,final_fragmentation,0.37625,0.32625,0.42625,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,mean_fragmentation,0.580416666667,0.554085354478,0.609248600746,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,polar_order,0.494298616974,0.442420041607,0.548732529028,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,mean_degree,1.42573383085,1.37662655473,1.47190516169,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,mean_probe_degree,1.42573383085,1.37869371891,1.47207866915,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,mean_radius,6,6,6,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,mean_radius_sq,36,36,36,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,control_energy,0.202724974964,0.175487095866,0.229023588178,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00444444444444,final_largest_scc_fraction,0.62375,0.57371875,0.675,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,final_fragmentation,0.25625,0.20125,0.31375,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,mean_fragmentation,0.420721393035,0.387387437811,0.454231809701,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,polar_order,0.635707244052,0.588479560822,0.682098899796,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,mean_degree,1.84211442786,1.77921144279,1.90578731343,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,mean_probe_degree,1.84211442786,1.77663619403,1.9068846393,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,mean_radius,6,6,6,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,mean_radius_sq,36,36,36,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,control_energy,0.139608459369,0.115728691148,0.168173197841,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.00756143667297,final_largest_scc_fraction,0.74375,0.68875,0.79878125,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,final_fragmentation,0.12,0.07125,0.17253125,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,mean_fragmentation,0.256741293532,0.220870335821,0.293095149254,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,polar_order,0.787643785253,0.741636152735,0.829210389841,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,mean_degree,2.30842039801,2.21829664179,2.39889085821,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,mean_probe_degree,2.30842039801,2.21768625622,2.39775,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,mean_radius,6,6,6,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,mean_radius_sq,36,36,36,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,control_energy,0.0577169788246,0.0470620990602,0.0697612166375,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0123456790123,final_largest_scc_fraction,0.88,0.82621875,0.92625,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,final_fragmentation,0.01125,0,0.02875,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,mean_fragmentation,0.0717972636816,0.0546787935323,0.0916693097015,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,polar_order,0.912445584541,0.888036928647,0.93282063339,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,mean_degree,2.94570895522,2.84416324627,3.05102176617,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,mean_probe_degree,2.94570895522,2.84296330846,3.04738681592,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,mean_radius,6,6,6,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,mean_radius_sq,36,36,36,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,control_energy,0.0183502724964,0.0161509845578,0.0207939820268,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0204081632653,final_largest_scc_fraction,0.98875,0.97125,1,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,final_fragmentation,0.005,0,0.015,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,mean_fragmentation,0.00701492537313,0.00218858830846,0.0151433457711,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,polar_order,0.972705708409,0.966480252135,0.978090690926,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,mean_degree,3.92176616915,3.76720024876,4.07186722637,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,mean_probe_degree,3.92176616915,3.77439179104,4.06549844527,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,mean_radius,6,6,6,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,mean_radius_sq,36,36,36,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,control_energy,0.0101268792636,0.00962085460305,0.0106462323953,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0330578512397,final_largest_scc_fraction,0.995,0.985,1,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0493827160494,final_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0493827160494,mean_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r6,0.0493827160494,polar_order,0.986443569583,0.98314586053,0.988914868811,episode,50,50,2000
