method,method_label,seed,n_density_cells,density_cell_mean_final_fragmentation,density_cell_mean_mean_fragmentation,density_cell_mean_final_largest_scc_fraction,density_cell_mean_mean_largest_scc_fraction,density_cell_mean_mean_degree,density_cell_mean_mean_radius,density_cell_mean_mean_interaction_area,density_cell_mean_radius_temporal_variation,density_cell_mean_radius_command_temporal_variation,density_cell_mean_neighbor_loss_rate,density_cell_mean_contact_break_rate,density_cell_mean_control_energy
density_oracle,Global-density oracle,20010,5,0.0,0.004228855721393035,1.0,0.9957711442786069,4.718283582089552,6.948699461965576,156.41371927239626,0.0027785674251583708,0.01004842005967561,0.0055,0.00575,0.01317849618321891
density_oracle,Global-density oracle,20011,5,0.0,0.00541044776119403,1.0,0.989365671641791,5.224378109452736,6.908542408349092,154.79817302816042,0.004202495420952417,0.011412415502194639,0.0028125,0.003,0.007324688226405416
density_oracle,Global-density oracle,20012,5,0.0,0.011380597014925373,1.0,0.9886194029850746,4.6749378109452735,6.946675472475661,156.37159027470798,0.0023721097089640895,0.01053124567716875,0.0046875,0.004875,0.018214627117930298
density_oracle,Global-density oracle,20013,5,0.0,0.049564676616915423,1.0,0.9482587064676616,4.419340796019901,6.917650439904977,155.05763078773768,0.00399390598209396,0.009605805519809173,0.0030625,0.0032500000000000003,0.011822566532174622
density_oracle,Global-density oracle,20014,5,0.0,0.005907960199004975,1.0,0.9919154228855721,5.6659825870646765,6.89825540493637,154.28124278137528,0.004350493124355183,0.010974490591722329,0.0021874999999999998,0.0023125,0.008304608450586056
density_oracle,Global-density oracle,20015,5,0.0,0.028358208955223885,1.0,0.9715174129353233,4.447823383084577,6.948549600140126,156.37707669686884,0.0027294384282643873,0.00996044582537645,0.00575,0.0059375,0.021232943345240174
density_oracle,Global-density oracle,20016,5,0.0,0.0,1.0,1.0,5.400870646766169,6.9163058798707,155.04064032644723,0.003477109533204438,0.01001105638021858,0.0015,0.0015625,0.009282395293245586
density_oracle,Global-density oracle,20017,5,0.025,0.0291044776119403,0.975,0.9708955223880598,4.53134328358209,6.94038865704279,156.01261710244108,0.003146511516332945,0.009347925083561621,0.00375,0.0040625,0.0113253746746162
density_oracle,Global-density oracle,20018,5,0.0,0.001616915422885572,1.0,0.9983830845771144,5.0779850746268655,6.92808048095508,155.48988807704202,0.00367637248797206,0.009662886546953733,0.0032500000000000003,0.0033750000000000004,0.012690764892387069
density_oracle,Global-density oracle,20019,5,0.0,0.005161691542288557,1.0,0.9944651741293532,5.278358208955224,6.927244543620773,155.50338517929316,0.003158035567768297,0.010247719937895104,0.00275,0.0029375,0.009838736530646515
density_oracle,Global-density oracle,20020,5,0.0,0.00945273631840796,1.0,0.9905472636815921,4.94521144278607,6.9408044949336345,156.04993963403325,0.002974615139806037,0.010128612039041593,0.0049375,0.0051875,0.011552098370471506
density_oracle,Global-density oracle,20021,5,0.0,0.005845771144278607,1.0,0.9941542288557214,5.670398009950249,6.938173274229243,156.01472153700985,0.002892287292989815,0.010914272720061704,0.0030625,0.0031875000000000002,0.009476880086487265
density_oracle,Global-density oracle,20022,5,0.0,0.013557213930348259,1.0,0.9864427860696517,4.321206467661692,6.944737181488509,156.26225044946753,0.002131590150601618,0.010109534257897833,0.004125,0.0044375000000000005,0.009732787692133484
density_oracle,Global-density oracle,20023,5,0.0,0.00043532338308457713,1.0,0.9995646766169154,5.691977611940298,6.9361417460503105,155.90417772380596,0.00274642784760605,0.0105718200970841,0.002875,0.0030625,0.011184933200466735
density_oracle,Global-density oracle,20024,5,0.0,0.03955223880597015,1.0,0.9582089552238806,4.510136815920398,6.934417436114839,155.7812555203272,0.0025544309100154735,0.009759520609166152,0.004,0.0040625,0.008555712888371427
density_oracle,Global-density oracle,20025,5,0.0,0.05453980099502488,1.0,0.9454601990049751,3.9845771144278608,6.940803344333882,156.04473025020138,0.0028972476531752478,0.009321718894733424,0.006687500000000001,0.006937500000000001,0.009553523139259355
density_oracle,Global-density oracle,20026,5,0.0,0.0004975124378109452,1.0,0.9995024875621891,5.698818407960199,6.905412131261977,154.65096062681334,0.004634896421466991,0.012002253863473995,0.0026875,0.0026875,0.01085812856439847
density_oracle,Global-density oracle,20027,5,0.0,0.01287313432835821,1.0,0.9871268656716417,5.3131840796019905,6.927267540398423,155.56892211717292,0.0025243403100123217,0.011428580380841878,0.00275,0.0028125,0.014402972870007571
density_oracle,Global-density oracle,20028,5,0.0,0.04651741293532338,1.0,0.9534825870646767,4.327363184079602,6.945371206718107,156.2469235249975,0.002669978803732366,0.00973865446455456,0.0049375,0.005125,0.013760104238204635
density_oracle,Global-density oracle,20029,5,0.0,0.01075870646766169,1.0,0.9887437810945274,4.517350746268656,6.92865309218565,155.58139802871307,0.003347652071070961,0.010122491114718357,0.004937499999999999,0.004999999999999999,0.009776863126124871
density_oracle,Global-density oracle,20030,5,0.0,0.0006840796019900498,1.0,0.9987562189054726,5.3906716417910445,6.914407327085563,154.96827027435765,0.003645589466055221,0.01083330661431971,0.002875,0.0029375,0.009273223794813015
