comparison,method,half_width,density,metric,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,mean_interaction_area,50,2000,49.20786244666043,45.21439906975621,53.38965996978862
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,radius_temporal_variation,50,2000,-0.0016292087702387747,-0.001869827326347111,-0.0014017418195105696
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,radius_command_temporal_variation,50,2000,-0.0020408374598565693,-0.002412708072090289,-0.0016755365142158908
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,neighbor_loss_rate,50,2000,-0.00121875,-0.0015562500000000001,-0.0009125
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,contact_break_rate,50,2000,0.00051875,0.00022500000000000005,0.0008001562499999992
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,control_energy,50,2000,-4.5642018075674246e-05,-0.00010974284514030313,1.6923184471123476e-05
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,final_fragmentation,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,mean_fragmentation,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,final_largest_scc_fraction,50,2000,0.00375,0.0,0.01125
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,mean_largest_scc_fraction,50,2000,0.002935323383084578,0.0,0.008799751243781097
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,mean_degree,50,2000,1.061044776119403,0.9139396766169154,1.2009757462686568
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,mean_radius,50,2000,0.8303303928865834,0.7325202678552847,0.9298969650079194
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,mean_interaction_area,50,2000,36.44514229145189,32.36235163397706,40.275591688268975
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,radius_temporal_variation,50,2000,-0.0016292087702387747,-0.001871307194909985,-0.00139502241586297
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,radius_command_temporal_variation,50,2000,-0.0020408374598565693,-0.00240972169258119,-0.0016865831985462003
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,neighbor_loss_rate,50,2000,-0.00091875,-0.0012125,-0.000625
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,contact_break_rate,50,2000,-0.0009,-0.0012125,-0.0006
fixed_r8_retained - alf,fixed_r8_retained,11.0,0.03305785123966942,control_energy,50,2000,-0.00010711458170410815,-0.00017236774695073264,-4.549294634426447e-05
crmf - alf,crmf,14.0,0.02040816326530612,final_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,14.0,0.02040816326530612,mean_fragmentation,50,2000,6.840796019900498e-05,0.0,0.00018656716417910445
crmf - alf,crmf,14.0,0.02040816326530612,final_largest_scc_fraction,50,2000,-0.00125,-0.0125,0.01
crmf - alf,crmf,14.0,0.02040816326530612,mean_largest_scc_fraction,50,2000,-0.000634328358208962,-0.01044931592039802,0.009335043532338265
crmf - alf,crmf,14.0,0.02040816326530612,mean_degree,50,2000,0.18799129353233826,0.1445306281094527,0.23358644278606963
crmf - alf,crmf,14.0,0.02040816326530612,mean_radius,50,2000,0.23088598029010124,0.18151012781100426,0.2882037100971121
crmf - alf,crmf,14.0,0.02040816326530612,mean_interaction_area,50,2000,10.235444929722549,7.955378632716247,12.718057068612074
crmf - alf,crmf,14.0,0.02040816326530612,radius_temporal_variation,50,2000,0.0007399458418077409,0.0005267237621387182,0.0009734135280269321
crmf - alf,crmf,14.0,0.02040816326530612,radius_command_temporal_variation,50,2000,0.001865487954625538,0.0013588805143181803,0.002396299388188254
crmf - alf,crmf,14.0,0.02040816326530612,neighbor_loss_rate,50,2000,-0.0002875,-0.00045625,-0.0001375
crmf - alf,crmf,14.0,0.02040816326530612,contact_break_rate,50,2000,-0.0002875,-0.00045625,-0.00013749999999999998
crmf - alf,crmf,14.0,0.02040816326530612,control_energy,50,2000,-1.1754313537856095e-05,-3.2772736283394975e-05,3.094870494186261e-06
stardisplay - alf,stardisplay,14.0,0.02040816326530612,final_fragmentation,50,2000,0.0075,0.0,0.02
stardisplay - alf,stardisplay,14.0,0.02040816326530612,mean_fragmentation,50,2000,0.018799751243781096,0.004968128109452736,0.03856576492537312
stardisplay - alf,stardisplay,14.0,0.02040816326530612,final_largest_scc_fraction,50,2000,-0.0975,-0.135,-0.06375
stardisplay - alf,stardisplay,14.0,0.02040816326530612,mean_largest_scc_fraction,50,2000,-0.1185136815920398,-0.1542129975124378,-0.08564412313432837
stardisplay - alf,stardisplay,14.0,0.02040816326530612,mean_degree,50,2000,-0.8806654228855721,-0.9779855410447762,-0.7840172574626865
stardisplay - alf,stardisplay,14.0,0.02040816326530612,mean_radius,50,2000,-1.0372606763045544,-1.087083453500526,-0.9857231614793844
stardisplay - alf,stardisplay,14.0,0.02040816326530612,mean_interaction_area,50,2000,-47.07002663305877,-49.29340680537003,-44.80983313912312
stardisplay - alf,stardisplay,14.0,0.02040816326530612,radius_temporal_variation,50,2000,0.013339992773379153,0.012597232368481929,0.014069920715204421
stardisplay - alf,stardisplay,14.0,0.02040816326530612,radius_command_temporal_variation,50,2000,0.11445543986984004,0.10391801266230008,0.1251440532826084
stardisplay - alf,stardisplay,14.0,0.02040816326530612,neighbor_loss_rate,50,2000,0.00408125,0.0036375,0.0045375
stardisplay - alf,stardisplay,14.0,0.02040816326530612,contact_break_rate,50,2000,0.00409375,0.0036375,0.004568906249999999
stardisplay - alf,stardisplay,14.0,0.02040816326530612,control_energy,50,2000,9.623511697935404e-05,-4.347992767647214e-05,0.00025753092631601126
density_oracle - alf,density_oracle,14.0,0.02040816326530612,final_fragmentation,50,2000,0.0,0.0,0.0
density_oracle - alf,density_oracle,14.0,0.02040816326530612,mean_fragmentation,50,2000,6.840796019900498e-05,0.0,0.00018656716417910445
density_oracle - alf,density_oracle,14.0,0.02040816326530612,final_largest_scc_fraction,50,2000,0.005,0.0,0.01375
