target_degree,eval_seed,n_agents,steps,final_fragmentation,mean_fragmentation,polar_order,neighbor_loss_rate,control_energy,mean_radius,mean_probe_degree,mean_interaction_out_degree
3,20008,16,200,0.0,0.00808457711442786,0.9738002991461414,0.000625,0.00955700507159399,5.997650299299854,1.248134328358209,3.896766169154229
3,20009,16,200,0.0,0.0,0.9626512218744113,0.0015625,0.00948685082679929,6.246989701747101,1.2375621890547264,3.8370646766169156
3,20010,16,200,0.0,0.0006218905472636816,0.9828695083384704,0.001875,0.011779302764536446,6.627748687301992,0.8737562189054726,3.794776119402985
3,20011,16,200,0.0,0.0,0.9821976646488899,0.0009375,0.007576951852047723,5.358210578440211,2.120646766169154,3.6147388059701493
3,20012,16,200,0.0,0.0,0.9915099578928581,0.0025,0.01225114025073189,6.801376746231196,0.6256218905472637,3.693718905472637
3,20013,16,200,0.0,0.12468905472636815,0.8204287176945967,0.003125,0.011487959993572302,5.813521465824191,1.6685323383084578,3.2372512437810945
3,20014,16,200,0.0,0.055970149253731345,0.8734738020609247,0.0025,0.008446087845921449,4.958953460341013,2.133084577114428,3.447139303482587
3,20015,16,200,0.0,0.001554726368159204,0.9592319069268248,0.0028125,0.013802058140787204,6.433516844742937,0.8768656716417911,3.1237562189054726
3,20016,16,200,0.0,0.0,0.9889875625067539,0.00375,0.009506627514529395,5.320269624619946,1.9720149253731343,3.3659825870646767
3,20017,16,200,0.0,0.0,0.9856711034039924,0.0021875,0.009684932433828562,6.25288148873527,1.1218905472636815,3.640547263681592
3,20018,16,200,0.0,0.0,0.9743585355792206,0.000625,0.012452114188532473,5.859870615313292,1.5037313432835822,3.2667910447761193
3,20019,16,200,0.0,0.0,0.9620147982814387,0.00125,0.010096805201374728,5.69004630969908,1.3575870646766168,3.3031716417910446
3,20020,16,200,0.0,0.0,0.960058172856527,0.0046875,0.01084107641101789,5.70764117364724,1.568407960199005,2.972636815920398
3,20021,16,200,0.0,0.0,0.9935645550303471,0.003125,0.008810338982004957,6.12367765880485,1.1243781094527363,3.6458333333333335
3,20022,16,200,0.0,0.0,0.9746963582785579,0.0021875,0.009457422780828869,6.448029327980889,0.7475124378109452,3.7876243781094527
3,20023,16,200,0.0,0.0,0.9716160918559338,0.00625,0.011535397329813103,5.14831660253698,2.1791044776119404,3.429726368159204
3,20024,16,200,0.0,0.0,0.8469062661264313,0.003125,0.00817600810513554,5.711998888004956,1.6741293532338308,3.344216417910448
3,20025,16,200,0.0,0.0,0.9754345311256538,0.0034375,0.008735204964239528,6.046456193157609,1.1225124378109452,3.425995024875622
3,20026,16,200,0.0,0.0,0.991780895294389,0.001875,0.011821392866402112,5.016632896544264,2.097636815920398,3.6393034825870645
3,20027,16,200,0.0,0.0,0.9813239035974893,0.0,0.007257610762347107,6.419355805612063,1.0012437810945274,4.095149253731344
3,20028,16,200,0.0,0.0,0.986935185577023,0.000625,0.01145048561174944,6.787495240523797,0.6262437810945274,3.3718905472636815
3,20029,16,200,0.0,0.0024875621890547263,0.9861276892250845,0.001875,0.009719725026007294,6.358401300928744,1.0049751243781095,3.4396766169154227
3,20030,16,200,0.0,0.0003109452736318408,0.9761697893088106,0.003125,0.009878404020467383,5.131369526471739,2.097636815920398,3.5425995024875623
3,20031,16,200,0.0,0.0024875621890547263,0.9591163141298351,0.0021875,0.008302946749591223,5.605217526323274,1.3843283582089552,3.4642412935323383
3,20032,16,200,0.0,0.028296019900497512,0.9909711029604926,0.001875,0.009873138747655226,6.057667224533294,1.375,3.144589552238806
3,20033,16,200,0.0,0.0024875621890547263,0.9922042568204854,0.001875,0.009812672546158101,6.2815965927310735,1.0149253731343284,3.697450248756219
3,20034,16,200,0.0,0.0037313432835820895,0.9892050002645032,0.0015625,0.007670411616245163,5.487607538232851,1.625,3.123445273631841
3,20035,16,200,0.0,0.0,0.9805329808527373,0.0003125,0.009659501645593989,6.528794452177793,0.9968905472636815,3.487873134328358
3,20036,16,200,0.0,0.0,0.9562400443083189,0.0021875,0.01224868068213378,6.235360682077697,1.0031094527363185,3.6222014925373136
3,20037,16,200,0.0,0.0003109452736318408,0.9828596494463889,0.00125,0.007939854133998905,6.479357583112109,1.001865671641791,3.673507462686567
3,20038,16,200,0.0,0.0012437810945273632,0.9421788153676811,0.001875,0.010047755865939558,6.031656067199345,1.146144278606965,3.361318407960199
3,20039,16,200,0.0,0.0,0.9244359779338108,0.0015625,0.00749227549232954,5.913779179607829,1.6281094527363185,4.331467661691542
3,20040,16,200,0.0,0.0,0.8938454823983689,0.0015625,0.007959186301066836,5.51593601885806,1.8115671641791045,3.704912935323383
3,20041,16,200,0.0,0.0,0.9710075946609311,0.00375,0.010366086247277785,5.826127761872629,1.3619402985074627,3.2590174129353233
3,20042,16,200,0.0,0.0,0.9824923995600581,0.0003125,0.009381008424365084,6.160934550688002,1.0006218905472637,3.575870646766169
3,20043,16,200,0.0,0.0,0.9824877410588975,0.001875,0.012906794075602801,5.237614944411654,2.123134328358209,3.3383084577114426
3,20044,16,200,0.0,0.007462686567164179,0.9649489396644189,0.008125,0.00976971422008716,5.470131498593922,1.902363184079602,3.470149253731343
3,20045,16,200,0.0,0.0,0.9829932032776966,0.003125,0.009936977607743048,5.646703484003207,1.4956467661691542,4.053171641791045
3,20046,16,200,0.0,0.0,0.9913841487217774,0.0021875,0.008164866723030637,5.8796756746751555,1.4993781094527363,3.3075248756218905
3,20047,16,200,0.0,0.0,0.9711320607923009,0.001875,0.009529797129504022,5.9200692802497334,1.3756218905472637,2.74657960199005
3,20048,16,200,0.0,0.0,0.9727487648541254,0.0015625,0.010695747190744816,6.368552633468826,0.9975124378109452,3.1843905472636815
3,20049,16,200,0.0,0.0,0.9567954997144557,0.0015625,0.009556609046594142,5.928045406269446,1.375,3.3448383084577116
4,20000,16,200,0.0,0.0,0.9881841582784104,0.001875,0.009517246271387697,7.056442087561203,1.25,3.790733830845771
4,20001,16,200,0.0,0.0,0.9737641329621457,0.0021875,0.00983783538903254,6.8599100384621545,1.248134328358209,4.26181592039801
4,20002,16,200,0.0,0.0,0.9870494952130984,0.0034375,0.009368029885059113,7.0067624605721175,1.2475124378109452,3.9045398009950247
4,20003,16,200,0.0,0.0,0.9910792806228962,0.0009375,0.009788584553066488,7.121320343559623,1.0006218905472637,4.687810945273632
4,20004,16,200,0.0,0.0,0.9855660333030214,0.00125,0.009343190301758156,7.430903659782886,1.0,4.1038557213930345
4,20005,16,200,0.0,0.0,0.9764713469947951,0.0059375,0.010157843817891659,6.28782085860148,1.7985074626865671,4.14521144278607
