method,method_label,half_width,density,n_seeds,final_fragmentation_mean,final_fragmentation_sd,mean_fragmentation_mean,mean_fragmentation_sd,final_largest_scc_fraction_mean,final_largest_scc_fraction_sd,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_sd,mean_degree_mean,mean_degree_sd,mean_radius_mean,mean_radius_sd,mean_interaction_area_mean,mean_interaction_area_sd,radius_temporal_variation_mean,radius_temporal_variation_sd,radius_command_temporal_variation_mean,radius_command_temporal_variation_sd,neighbor_loss_rate_mean,neighbor_loss_rate_sd,contact_break_rate_mean,contact_break_rate_sd,control_energy_mean,control_energy_sd
knn_k6,Range-limited KNN K=6,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,1.0,0.0,0.9999751243781094,0.00013820495012530494,6.0,0.0,7.0,0.0,153.93804002589985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425625,0.0011023983883481747,0.008639401466588773,0.0013252446350294279
knn_k6,Range-limited KNN K=6,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,1.0,0.0,0.9999751243781094,0.00013820495012530494,5.991206467661691,0.025133750585334506,8.25,0.0,213.82464998495527,0.0,0.0,0.0,0.0,0.0,4.3750000000000006e-05,0.0001264268058795205,0.0035625,0.0011007882148158887,0.008634130556811162,0.001333365497544982
knn_k6,Range-limited KNN K=6,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,1.0,0.0,0.999639303482587,0.002506023484330343,5.546542288557214,0.22123803770153763,8.25,0.0,213.82464998495527,0.0,0.0,0.0,0.0,0.0,0.00081875,0.0006854968498267873,0.00270625,0.0010462251447807154,0.00868996792878605,0.0012796809885120054
knn_k6,Range-limited KNN K=6,14.0,0.02040816326530612,50,0.0,0.0,0.0021019900497512437,0.006544960495373057,0.99375,0.028931878117892232,0.9918097014925372,0.03028854468176336,4.203351990049751,0.4033556133335147,8.25,0.0,213.82464998495527,0.0,0.0,0.0,0.0,0.0,0.0016,0.0009271108017791132,0.00218125,0.0010459965283139796,0.009578645312846261,0.0016731101221943792
knn_k6,Range-limited KNN K=6,18.0,0.012345679012345678,50,0.01625,0.08261703201877829,0.07870646766169154,0.10385622753759699,0.98375,0.08261703201877829,0.9212624378109453,0.10384160934026637,3.037655472636816,0.4495564603747241,8.25,0.0,213.82464998495527,0.0,0.0,0.0,0.0,0.0,0.0014000000000000002,0.001135087989936445,0.0015187500000000001,0.0012193467272792143,0.016705402956971826,0.00908174843467135
stardisplay,StarDisplay update,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,0.99625,0.026516504294495532,0.9963432835820896,0.02585688975980659,5.795174129353233,0.3906317713879147,4.587637390405796,0.13295307106570217,66.80283083815328,3.6925442663800796,0.018456714869473895,0.0027938491320486716,0.15109513269577265,0.043539827031580776,0.019456249999999998,0.0018437121666820524,0.019575,0.001873681509210993,0.008436151699980174,0.0013181648200080657
stardisplay,StarDisplay update,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,0.995,0.027779194975185797,0.9951803482587064,0.02688510823857506,5.24488184079602,0.36110447737736656,5.649658951711112,0.15280362630124078,101.25532620007951,5.201914046180919,0.020660743682596693,0.003270884048464633,0.16920087569456665,0.050674327871508974,0.01634375,0.0016670984240926645,0.01646875,0.0016283937285570963,0.008474994516956743,0.0013149761959427304
stardisplay,StarDisplay update,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,0.98125,0.06944798743796449,0.9802798507462687,0.0669832878813558,4.177754975124378,0.33061875026243887,6.136095439102229,0.15833477873347504,119.27225062912235,5.8019067768527455,0.01749471911254267,0.003956828554360838,0.13974822043856072,0.06133510042686169,0.01001875,0.002075206299678297,0.0101125,0.0020984612316686546,0.008645584769380151,0.001235760332123665
stardisplay,StarDisplay update,14.0,0.02040816326530612,50,0.0075,0.03920446142875027,0.020541044776119403,0.06417578052134708,0.8975,0.13702375780893483,0.8735199004975124,0.13517657206386882,3.0731716417910446,0.3714191000228959,6.614958596831715,0.17864349793069434,138.34138428737256,7.2348657453106355,0.013999414769799032,0.002500815209527077,0.11536536272932717,0.0389006050251121,0.0053375,0.0016007312582768196,0.0054125,0.0015725949405167167,0.009916696267604717,0.001978209676959103
stardisplay,StarDisplay update,18.0,0.012345679012345678,50,0.03,0.08206518066482898,0.11138059701492536,0.08759470715666158,0.85125,0.1509377574785483,0.777276119402985,0.13097855222640037,2.392537313432836,0.308998519330012,6.9210622591751845,0.14891749087334943,151.1883607634222,6.311885926021182,0.012139793006337253,0.0024427748413195986,0.10336333333333331,0.03850511186135916,0.00254375,0.0012258671701605975,0.00259375,0.0012391911501591082,0.021281450582410728,0.014572330612268182
