bootstrap_unit,ci95_high,ci95_low,comparison,density,half_width,metric,n_bootstrap,n_pairs,paired_mean_difference
shared evaluation seed,-1.5138704912935323,-1.6616483208955222,CRDF - ALF,0.03305785123966942,11.0,mean_degree_error,2000,50,-1.5878669154228857
shared evaluation seed,-11.30991899875622,-12.709854944029852,CRDF - ALF,0.03305785123966942,11.0,mean_degree_error_sq,2000,50,-12.000242537313433
shared evaluation seed,0.3007821875,0.25696218749999994,CRDF - ALF,0.03305785123966942,11.0,radius_oscillation_frequency,2000,50,0.27858125
shared evaluation seed,0.0,0.0,CRMF - ALF,0.03305785123966942,11.0,final_fragmentation,2000,50,0.0
shared evaluation seed,0.0,0.0,CRMF - ALF,0.03305785123966942,11.0,mean_fragmentation,2000,50,0.0
shared evaluation seed,0.01125,-0.01125,CRMF - ALF,0.03305785123966942,11.0,final_largest_scc_fraction,2000,50,0.0
shared evaluation seed,0.00799129353233831,-0.010858830845771144,CRMF - ALF,0.03305785123966942,11.0,mean_largest_scc_fraction,2000,50,-0.0009639303482587058
shared evaluation seed,0.3321424129353233,0.18994838308457715,CRMF - ALF,0.03305785123966942,11.0,mean_degree,2000,50,0.25992537313432834
shared evaluation seed,0.28227548495504706,0.14834059877417527,CRMF - ALF,0.03305785123966942,11.0,mean_radius,2000,50,0.21286500671153902
shared evaluation seed,11.796101410083576,5.71065552120608,CRMF - ALF,0.03305785123966942,11.0,mean_interaction_area,2000,50,8.635988245702526
shared evaluation seed,-9.375000000000003e-05,-0.0005812500000000001,CRMF - ALF,0.03305785123966942,11.0,neighbor_loss_rate,2000,50,-0.00034375000000000003
shared evaluation seed,0.00142049050284708,0.00010637828221471545,CRMF - ALF,0.03305785123966942,11.0,polar_order,2000,50,0.0006274147311382983
shared evaluation seed,-1.4121088063034906e-05,-6.35066015635853e-05,CRMF - ALF,0.03305785123966942,11.0,velocity_dispersion,2000,50,-3.422782219267098e-05
shared evaluation seed,6.3199909727361025e-06,-1.1654129433488184e-05,CRMF - ALF,0.03305785123966942,11.0,control_energy,2000,50,-2.970215554959129e-06
shared evaluation seed,0.0012448983671744217,0.0005779115814165262,CRMF - ALF,0.03305785123966942,11.0,radius_temporal_variation,2000,50,0.0009048087126316151
