bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,-1.5369302342591663e-06,-1.9283489427125748e-05,crdf - ALF,0.0204,uniform,-1.2673234375313311e-05,controller_wall_s_per_agent_step,16,30,-1.0938169791662256e-05,0.26666666666666666
shared held-out evaluation seed,0.0,-0.025,crmf - ALF,0.0204,uniform,0.0,final_fragmentation,16,30,-0.008333333333333333,0.0
shared held-out evaluation seed,5.182421227197369e-05,-0.00287183872305141,crmf - ALF,0.0204,uniform,0.0,mean_fragmentation,16,30,-0.001119402985074627,0.03333333333333333
shared held-out evaluation seed,0.030618521973466005,0.0027464241293532307,crmf - ALF,0.0204,uniform,0.0,mean_largest_scc_fraction,16,30,0.014852819237147596,0.2
shared held-out evaluation seed,0.23499093076285235,0.1234242848258706,crmf - ALF,0.0204,uniform,0.18330223880596996,mean_degree,16,30,0.17813018242122716,0.8
shared held-out evaluation seed,0.1733371680188658,-0.06692587587430802,crmf - ALF,0.0204,uniform,0.002789757292517514,degree_variance,16,30,0.05074796390147106,0.5
shared held-out evaluation seed,0.0013360081991716356,0.0005174169209547851,crmf - ALF,0.0204,uniform,0.0008037801421957576,radius_temporal_variation,16,30,0.0009081512221257151,0.7333333333333333
shared held-out evaluation seed,-0.00021875,-0.0006770833333333334,crmf - ALF,0.0204,uniform,0.0,contact_break_rate,16,30,-0.00044791666666666667,0.06666666666666667
shared held-out evaluation seed,-0.00021875,-0.00071875,crmf - ALF,0.0204,uniform,0.0,neighbor_loss_rate,16,30,-0.0004583333333333333,0.06666666666666667
shared held-out evaluation seed,0.024826648009950228,-0.039513888888888876,crmf - ALF,0.0204,uniform,-0.007307213930348222,radius_max_saturation_fraction,16,30,-0.008219320066334988,0.3
shared held-out evaluation seed,0.0,-0.1,crmf - ALF,0.0204,uniform,0.0,episode_failure,16,30,-0.03333333333333333,0.0
shared held-out evaluation seed,6.93822908850118e-06,-5.211303776145826e-06,crmf - ALF,0.0204,uniform,-2.3875156253438978e-06,controller_wall_s_per_agent_step,16,30,8.378885416012352e-07,0.4666666666666667
shared held-out evaluation seed,0.0,-0.025,fixed_r_retained - ALF,0.0204,uniform,0.0,final_fragmentation,16,30,-0.008333333333333333,0.0
shared held-out evaluation seed,-2.072968490878935e-05,-0.002777777777777778,fixed_r_retained - ALF,0.0204,uniform,0.0,mean_fragmentation,16,30,-0.0012230514096185738,0.03333333333333333
shared held-out evaluation seed,0.033790682006633495,0.00647750829187396,fixed_r_retained - ALF,0.0204,uniform,0.0,mean_largest_scc_fraction,16,30,0.01877072968490879,0.43333333333333335
shared held-out evaluation seed,0.4415534307628517,0.17740257048092875,fixed_r_retained - ALF,0.0204,uniform,0.25171019900497527,mean_degree,16,30,0.2898528192371476,0.8
shared held-out evaluation seed,0.9257478646361887,0.11763501536742589,fixed_r_retained - ALF,0.0204,uniform,0.14483615233843217,degree_variance,16,30,0.43448478804670676,0.6333333333333333
shared held-out evaluation seed,-0.0005076641012916552,-0.0009851723557181991,fixed_r_retained - ALF,0.0204,uniform,-0.000669872980010873,radius_temporal_variation,16,30,-0.0007350783873943979,0.0
shared held-out evaluation seed,-0.00020833333333333332,-0.00075,fixed_r_retained - ALF,0.0204,uniform,0.0,contact_break_rate,16,30,-0.00046875000000000004,0.06666666666666667
shared held-out evaluation seed,-0.00022916666666666664,-0.0007708333333333333,fixed_r_retained - ALF,0.0204,uniform,0.0,neighbor_loss_rate,16,30,-0.0004791666666666667,0.06666666666666667
shared held-out evaluation seed,0.3415741604477611,0.2343125518242123,fixed_r_retained - ALF,0.0204,uniform,0.30923507462686567,radius_max_saturation_fraction,16,30,0.2914697346600332,0.8666666666666667
shared held-out evaluation seed,0.0,-0.1,fixed_r_retained - ALF,0.0204,uniform,0.0,episode_failure,16,30,-0.03333333333333333,0.0
shared held-out evaluation seed,1.4599877838503035e-05,-4.834815364678961e-07,fixed_r_retained - ALF,0.0204,uniform,4.4873124997479885e-06,controller_wall_s_per_agent_step,16,30,7.1383656249395255e-06,0.5333333333333333
shared held-out evaluation seed,0.13333333333333333,0.016666666666666666,crdf - ALF,0.0204,clustered,0.0,final_fragmentation,16,30,0.06666666666666667,0.13333333333333333
shared held-out evaluation seed,0.11161380597014921,0.020538971807628526,crdf - ALF,0.0204,clustered,0.003731343283582114,mean_fragmentation,16,30,0.06092454394693201,0.6
shared held-out evaluation seed,-0.004857224295190743,-0.10058898217247099,crdf - ALF,0.0204,clustered,0.0,mean_largest_scc_fraction,16,30,-0.04918117744610283,0.4
shared held-out evaluation seed,-0.08607898009950256,-0.4197771558872304,crdf - ALF,0.0204,clustered,-0.1861007462686568,mean_degree,16,30,-0.2390754560530679,0.3
shared held-out evaluation seed,0.06202917364746539,-0.6239686929385772,crdf - ALF,0.0204,clustered,0.053396632354397205,degree_variance,16,30,-0.2285469483531761,0.5333333333333333
shared held-out evaluation seed,0.00605727034543037,0.004019739932268222,crdf - ALF,0.0204,clustered,0.004895337707318332,radius_temporal_variation,16,30,0.005044539332494402,0.9666666666666667
shared held-out evaluation seed,0.0006669270833333319,-0.0006666666666666666,crdf - ALF,0.0204,clustered,0.0,contact_break_rate,16,30,1.0416666666666624e-05,0.4666666666666667
